TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
6,81E+13;-0.0175;0.0535;0.0060
6,81E+13;0.0208;-0.1158;0.0013
6,81E+13;-0.0069;0.0599;0.0060
6,81E+13;0.0059;-0.0482;-0.0067
6,81E+13;0.0251;0.0242;0.0034
6,81E+13;0.0096;-0.0620;-0.0030
6,81E+13;0.0187;0.0019;0.0039
6,81E+13;0.0118;-0.0487;-0.0019
6,81E+13;0.0080;-0.0157;-0.0035
6,81E+13;0.0741;0.1004;0.0013
6,81E+13;-0.0101;-0.1318;-0.0179
6,81E+13;0.0852;0.0024;0.0247
6,81E+13;0.0299;-0.0077;-0.0046
6,81E+13;0.0373;0.0035;-0.0003
6,81E+13;0.0746;-0.0530;0.0034
6,81E+13;0.0341;0.0232;0.0007
6,81E+13;0.0394;-0.0263;0.0007
6,81E+13;0.0474;-0.0205;0.0013
6,81E+13;0.0155;0.0386;-0.0003
6,81E+13;0.0309;-0.0327;0.0018
6,81E+13;0.0118;0.0232;0.0007
6,81E+13;0.0123;-0.0136;0.0018
6,81E+13;-0.0037;0.0061;0.0050
6,81E+13;0.0038;-0.0024;0.0076
6,81E+13;-0.0058;-0.0003;0.0044
6,81E+13;-0.0207;0.0168;0.0039
6,81E+13;-0.0069;-0.0152;0.0071
6,81E+13;-0.0394;0.0189;0.0034
6,81E+13;-0.0159;-0.0088;0.0007
6,81E+13;-0.0314;0.0280;0.0039
6,81E+13;-0.0293;-0.0290;-0.0019
6,81E+13;-0.0149;0.0109;0.0034
6,81E+13;-0.0229;-0.0003;-0.0014
6,81E+13;-0.0111;-0.0024;0.0023
6,81E+13;-0.0138;0.0024;0.0087
6,81E+13;-0.0111;-0.0184;0.0002
6,81E+13;0.0086;0.0322;0.0050
6,81E+13;-0.0197;-0.0365;-0.0062
6,81E+13;0.0219;0.0003;0.0044
6,81E+13;0.0213;0.0482;0.0076
6,81E+13;0.0011;-0.0343;-0.0046
6,81E+13;0.0086;0.0514;0.0071
6,81E+13;0.0378;-0.0977;-0.0073
6,81E+13;-0.0106;0.0695;-0.0035
6,81E+13;0.0165;-0.0402;0.0087
6,81E+13;0.0022;-0.0168;0.0050
6,81E+13;-0.0159;0.0471;0.0055
6,81E+13;0.0197;-0.0375;0.0055
6,81E+13;-0.0255;0.0487;-0.0025
6,81E+13;0.0251;-0.0663;0.0044
6,81E+13;-0.0223;0.0519;0.0050
6,81E+13;-0.0106;-0.0556;-0.0051
6,81E+13;0.0341;0.0120;0.0108
6,81E+13;-0.0319;0.0487;-0.0089
6,81E+13;0.0096;-0.0530;0.0013
6,81E+13;-0.0117;0.0168;0.0050
6,81E+13;-0.0021;0.0141;0.0018
6,81E+13;-0.0074;-0.0258;-0.0030
6,81E+13;-0.0085;0.0280;-0.0041
6,81E+13;-0.0186;-0.0263;-0.0019
6,81E+13;0.0059;0.0035;0.0060
6,81E+13;-0.0181;0.0115;0.0018
6,81E+13;-0.0074;-0.0626;-0.0057
6,81E+13;-0.0133;0.0583;-0.0030
