TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
6,81E+13;0.1597;-0.8876;104.408
6,81E+13;0.3992;-10.600;92.730
6,81E+13;-0.0451;-13.475;100.443
6,81E+13;0.3956;-13.619;89.783
6,81E+13;0.0171;-17.380;97.305
6,81E+13;0.2962;-16.949;88.502
6,81E+13;0.1369;-19.356;93.113
6,81E+13;0.1357;-17.056;92.598
6,81E+13;0.1345;-18.038;95.197
6,81E+13;-0.2200;-15.020;86.118
6,81E+13;-0.1733;-22.829;96.023
6,81E+13;0.3238;-19.488;95.856
6,81E+13;0.0854;-16.901;91.496
6,81E+13;0.0363;-17.607;94.251
6,81E+13;0.0327;-19.907;86.513
6,81E+13;-0.1362;-23.644;103.378
6,81E+13;0.3609;-16.541;93.616
6,81E+13;0.1800;-19.176;90.610
6,81E+13;-0.1721;-21.632;95.077
6,81E+13;-0.0080;-19.703;95.496
6,81E+13;-0.2428;-22.027;97.449
6,81E+13;0.4879;-17.979;95.772
6,81E+13;0.2483;-21.356;95.760
6,81E+13;0.1597;-17.799;99.725
6,81E+13;-0.1314;-20.398;92.131
6,81E+13;-0.0032;-19.679;97.940
6,81E+13;0.2615;-13.846;97.305
6,81E+13;0.3621;-23.872;109.846
6,81E+13;0.1393;-0.9331;90.909
6,81E+13;-0.4823;-18.709;93.281
6,81E+13;0.1764;-17.787;124.602
6,81E+13;0.8244;-11.068;80.321
6,81E+13;-0.1481;-12.014;110.408
6,81E+13;0.4495;-10.038;100.898
6,81E+13;0.1800;-11.786;93.664
6,81E+13;0.2052;-0.7426;99.305
6,81E+13;0.2711;-0.8325;104.252
6,81E+13;0.4903;-0.4743;96.239
6,81E+13;0.0255;-0.8708;98.263
6,81E+13;0.2842;-0.5318;95.053
6,81E+13;0.2016;-0.6085;98.611
6,81E+13;0.3369;-0.5809;98.024
6,81E+13;0.4579;-0.7355;98.994
6,81E+13;0.4112;-0.4300;92.969
6,81E+13;0.2842;-0.6408;94.874
6,81E+13;0.1884;-0.5187;94.323
6,81E+13;0.3190;-0.5845;92.682
6,81E+13;0.4208;-0.7175;99.569
6,81E+13;0.2567;-0.5450;93.975
